country	last_updated	air_quality_Carbon_Monoxide	air_quality_Ozone	air_quality_Nitrogen_dioxide	air_quality_Sulphur_dioxide	air_quality_PM2.5	air_quality_PM10
Germany	01/01/2025 11:30	303.4	56	15.725	1.665	10.545	12.025
Germany	02/01/2025 10:45	347.8	59	24.42	2.22	7.215	16.65
Germany	03/01/2025 11:45	371.85	60	23.68	3.515	9.62	15.725
Germany	04/01/2025 10:45	347.8	50	27.01	2.775	10.36	14.8
Germany	05/01/2025 10:45	434.75	48	40.515	5.735	23.68	30.155
Germany	06/01/2025 11:15	344.1	49	27.01	9.99	23.125	28.12
Germany	07/01/2025 11:30	349.65	55	20.165	8.695	7.585	7.955
Germany	08/01/2025 11:30	373.7	51	22.57	2.22	9.99	13.875
Germany	09/01/2025 11:30	723.35	4	76.22	9.805	28.675	38.11
Germany	10/01/2025 11:45	395.9	43	29.045	2.96	14.43	19.795
Germany	11/01/2025 11:30	325.6	59	12.395	1.48	5.735	7.77
Germany	12/01/2025 12:15	331.15	57	25.16	2.22	7.585	10.73
Germany	13/01/2025 11:45	595.7	15	91.76	6.105	27.195	32.375
Germany	14/01/2025 12:00	412.55	46	45.695	4.995	19.055	21.83
Germany	15/01/2025 10:45	392.2	27	47.36	2.035	20.72	26.825
Germany	16/01/2025 11:00	460.65	38	56.24	3.515	24.42	31.08
Germany	17/01/2025 10:45	592	    19	68.45	5.365	32.19	36.26
Germany	18/01/2025 11:15	828.8	10	85.84	14.06	44.955	56.795
Germany	19/01/2025 11:45	708.55	29	49.95	11.47	51.985	53.095
Germany	20/01/2025 11:30	671.55	29	64.38	8.695	32.005	39.405
Germany	21/01/2025 11:30	917.6	6	67.895	11.1	57.72	66.045
Germany	22/01/2025 11:15	876.9	4	70.3	11.1	57.35	76.405
Germany	23/01/2025 11:30	512.45	40	37.555	4.255	26.085	28.305
Germany	24/01/2025 11:30	431.05	51	32.005	2.775	14.245	17.76
Germany	25/01/2025 11:15	360.75	39	31.265	3.515	9.065	13.505
Germany	26/01/2025 11:15	688.2	6	77.33	8.88	29.97	41.255
Germany	27/01/2025 11:30	408.85	58	28.86	3.515	7.77	11.655
Germany	28/01/2025 12:00	379.25	50	34.41	4.625	9.435	12.025
Germany	29/01/2025 11:30	353.35	56	24.235	2.59	4.81	5.735
Germany	30/01/2025 11:15	567.95	19	71.965	5.18	22.94	33.67
Germany	31/01/2025 11:30	355.2	46	26.455	2.405	10.915	16.095
Germany	01/02/2025 11:30	469.9	28	41.995	3.885	26.825	31.265
Germany	02/02/2025 11:15	664.15	14	77.515	8.325	27.935	38.295
Germany	03/02/2025 11:30	754.8	13	71.965	11.655	36.445	44.955
Germany	04/02/2025 11:30	740	    19	63.27	11.84	48.84	59.385
Germany	05/02/2025 11:30	625.3	23	56.61	6.475	50.135	57.535
Germany	06/02/2025 11:15	458.8	25	45.325	2.96	24.605	31.82
Germany	07/02/2025 11:30	403.3	47	23.125	3.145	17.02	19.24
Germany	08/02/2025 11:30	573.5	33	21.83	10.915	42.92	45.325
Germany	09/02/2025 11:30	582.75	30	23.125	10.175	44.77	49.025
Germany	10/02/2025 11:30	579.05	34	26.64	8.88	46.62	51.245
Germany	11/02/2025 11:15	530.95	54	25.345	13.69	38.85	40.145
Germany	12/02/2025 11:15	625.3	47	30.34	15.355	54.39	58.645
Germany	13/02/2025 11:15	645.65	21	40.885	9.62	49.58	57.535
Germany	14/02/2025 11:00	419.95	56	25.715	7.585	20.535	25.16
Germany	15/02/2025 11:15	451.4	38	37.185	4.44	18.5	24.235
Germany	16/02/2025 11:15	456.95	49	39.96	7.215	18.5	25.53
Germany	17/02/2025 11:15	867.65	35	108.04	16.835	45.14	58.09
Germany	18/02/2025 11:15	732.6	43	85.655	12.95	26.085	39.96
Germany	19/02/2025 11:15	856.55	24	100.64	19.61	40.33	48.47
Germany	20/02/2025 11:00	616.05	60	37.37	14.06	35.705	42.92
Germany	21/02/2025 11:00	708.55	19	61.42	6.105	40.885	44.955
Germany	22/02/2025 11:00	479.15	62	25.345	4.995	25.715	32.005
Germany	23/02/2025 11:15	469.9	37	30.895	2.775	27.195	29.97
Germany	24/02/2025 11:00	444	    47	33.3	4.995	23.865	28.86
Germany	25/02/2025 11:00	512.45	30	49.21	4.995	26.825	31.45
Germany	26/02/2025 11:00	815.85	11	68.08	6.29	43.29	47.915
Germany	27/02/2025 10:45	593.85	21	59.2	5.735	33.67	36.815
Germany	28/02/2025 11:00	651.2	17	55.5	7.03	27.38	33.115
Germany	01/03/2025 11:00	442.15	36	22.015	2.035	22.385	23.495
Germany	02/03/2025 11:00	414.4	41	22.2	2.035	21.46	24.975
Germany	03/03/2025 11:00	421.8	55	25.16	4.44	28.12	32.93
Germany	04/03/2025 10:45	492.1	52	36.63	5.55	45.88	50.135
Germany	05/03/2025 10:45	525.4	54	39.22	5.92	40.33	47.175
Germany	06/03/2025 10:45	743.7	26	69.56	7.955	50.32	61.975
Germany	07/03/2025 10:45	871.35	17	71.04	7.4	    62.53	68.08
Germany	08/03/2025 10:45	684.5	36	43.29	10.36	62.16	72.89
Germany	09/03/2025 10:45	666	    43	31.265	10.36	66.6	75.85
Germany	10/03/2025 10:45	943.5	10	59.57	7.585	61.235	79.18
Germany	11/03/2025 10:45	762.2	19	59.755	5.92	81.77	94.535
Germany	12/03/2025 10:45	573.5	24	52.355	3.33	59.2	72.705
Germany	13/03/2025 10:45	419.95	51	28.305	2.96	21.645	26.27
Germany	14/03/2025 10:45	543.9	35	57.535	6.29	23.125	28.49
Germany	15/03/2025 10:45	445.85	49	20.165	3.885	22.755	25.715
Germany	16/03/2025 10:45	416.25	62	23.125	2.775	17.945	21.83
Germany	17/03/2025 10:45	379.25	79	11.655	3.515	7.03	10.915
Germany	18/03/2025 10:45	447.7	60	26.825	5.92	16.65	19.795
Germany	19/03/2025 10:30	727.05	53	64.195	11.1	26.64	33.3
Germany	20/03/2025 10:45	767.75	27	60.495	8.325	45.325	53.65
Germany	21/03/2025 10:30	797.35	19	63.825	9.99	48.84	61.42
Germany	22/03/2025 10:30	492.1	57	13.32	7.215	48.655	55.87
Germany	23/03/2025 10:45	440.3	64	13.135	6.475	28.86	31.45
Germany	24/03/2025 10:30	595.7	13	59.57	7.4	    39.405	48.47
Germany	25/03/2025 10:15	592	    38	54.945	8.51	35.89	45.14
Germany	26/03/2025 10:15	364.45	44	24.42	1.665	21.46	22.015
Germany	27/03/2025 10:15	414.4	41	29.785	2.775	20.905	26.455
Germany	28/03/2025 10:45	567.95	46	49.765	4.81	35.15	44.4
Germany	29/03/2025 10:30	527.25	44	29.785	7.585	41.81	47.545
Germany	30/03/2025 11:30	388.5	58	17.39	2.59	13.69	19.055
Germany	31/03/2025 11:15	349.65	59	13.69	1.11	6.29	7.77
Germany	01/04/2025 11:30	381.1	58	16.835	2.405	18.13	22.385
Germany	02/04/2025 11:00	366.3	55	15.725	6.29	12.765	17.39
Germany	03/04/2025 11:00	449.55	46	28.86	5.92	17.945	24.975
Germany	04/04/2025 11:15	542.05	44	36.075	6.105	24.605	37.74
Germany	05/04/2025 11:00	312.65	78	5.365	1.48	5.55	8.51
Germany	06/04/2025 11:00	334.85	92	6.475	2.96	5.55	8.325
Germany	07/04/2025 11:15	370	    58	17.205	3.33	12.765	17.39
Germany	08/04/2025 11:30	338.55	73	10.175	2.96	9.065	13.875
Germany	09/04/2025 11:15	525.4	53	55.13	7.585	22.2	27.935
Germany	10/04/2025 11:15	333	    55	16.28	2.035	15.17	17.39
Germany	11/04/2025 11:15	301.55	86	10.545	1.295	12.58	18.13
Germany	12/04/2025 11:15	321.9	60	14.985	2.22	23.125	27.38
Germany	13/04/2025 11:00	370	    62	14.245	3.33	19.24	24.605
Germany	14/04/2025 11:30	468.05	50	29.045	4.44	28.86	31.45
Germany	15/04/2025 11:15	399.6	64	14.43	4.255	26.085	32.005
Germany	16/04/2025 11:00	432.9	50	27.565	4.07	24.605	30.895
Germany	17/04/2025 10:45	333	    65	18.87	5.365	25.9	59.015
Germany	18/04/2025 11:15	342.25	52	21.275	3.7	    31.82	50.135
Germany	19/04/2025 11:00	310.8	66	12.025	2.22	11.47	14.245
Germany	20/04/2025 11:00	410.7	58	26.455	5.92	22.755	27.565
Germany	21/04/2025 11:15	530.95	45	43.845	6.845	22.015	29.97
Germany	22/04/2025 11:00	347.8	73	21.275	3.885	13.32	15.725
Germany	23/04/2025 11:00	479.15	54	32.375	3.515	32.19	36.815
Germany	24/04/2025 11:00	355.2	61	13.505	2.59	32.93	36.26
Germany	25/04/2025 11:00	310.8	70	10.915	3.145	8.695	10.915
Germany	26/04/2025 11:00	329.3	69	8.695	2.96	8.88	12.025
Germany	27/04/2025 10:45	366.3	65	12.395	5.365	13.135	17.945
Germany	28/04/2025 11:30	453.25	58	23.125	10.36	23.865	30.71
Germany	29/04/2025 10:45	368.15	76	23.865	3.885	24.975	31.635
Germany	30/04/2025 10:45	427.35	45	37	    3.885	13.135	16.095
Germany	01/05/2025 10:45	481	    68	42.735	6.845	23.68	34.41
